ds,y,t-168Mod
2020-07-20 14:00:00,539.662,726.4774
2020-07-20 15:00:00,588.046,698.047
2020-07-20 16:00:00,648.325,428.15849999999995
2020-07-20 17:00:00,461.619,555.2129
2020-07-20 18:00:00,605.693,490.21279999999996
2020-07-20 19:00:00,538.165,530.161
2020-07-20 20:00:00,471.889,571.6766000000001
2020-07-20 21:00:00,396.262,416.077
2020-07-20 22:00:00,223.784,225.68349999999995
2020-07-20 23:00:00,114.865,113.092
2020-07-21 00:00:00,172.211,121.532
2020-07-21 01:00:00,91.967,90.127
2020-07-21 02:00:00,60.326,81.083
2020-07-21 03:00:00,26.428,50.113
2020-07-21 04:00:00,59.008,31.859
2020-07-21 05:00:00,138.302,111.896
2020-07-21 06:00:00,201.159,249.08
2020-07-21 07:00:00,406.369,310.291
2020-07-21 08:00:00,532.913,562.5774000000001
2020-07-21 09:00:00,486.836,361.5115
2020-07-21 10:00:00,447.755,434.91
2020-07-21 11:00:00,436.033,602.828
2020-07-21 12:00:00,601.811,568.555
2020-07-21 13:00:00,549.69,635.386
2020-07-21 14:00:00,742.242,697.972
2020-07-21 15:00:00,635.149,607.197
2020-07-21 16:00:00,578.761,727.766
2020-07-21 17:00:00,616.086,600.9575000000001
2020-07-21 18:00:00,858.721,508.41279999999995
2020-07-21 19:00:00,387.11,676.654
2020-07-21 20:00:00,514.093,580.289
2020-07-21 21:00:00,468.103,257.96889999999996
2020-07-21 22:00:00,405.16,295.45340000000004
2020-07-21 23:00:00,189.538,111.8201
2020-07-22 00:00:00,191.733,212.016
2020-07-22 01:00:00,106.451,136.898
2020-07-22 02:00:00,49.885,93.963
2020-07-22 03:00:00,70.637,70.627
2020-07-22 04:00:00,46.97,25.505
2020-07-22 05:00:00,87.17,115.119
2020-07-22 06:00:00,198.985,122.222
2020-07-22 07:00:00,434.621,404.121
2020-07-22 08:00:00,479.73,431.113
2020-07-22 09:00:00,440.376,537.3357000000001
2020-07-22 10:00:00,441.038,230.94959999999998
2020-07-22 11:00:00,601.242,464.66970000000003
2020-07-22 12:00:00,487.91,325.20529999999997
2020-07-22 13:00:00,563.865,567.056
2020-07-22 14:00:00,715.528,716.0648
2020-07-22 15:00:00,691.339,408.1427
